Wallet,Age_Days,Days_Active,Total_Tx,Avg_Tx_Day,max_addresses,addr_nghbor,Tokens_Traded,Token_Counterparties,SOL_Counterparties,SOL_In,SOL_Out,Net_SOL_Transfer,SOL_Balance,USD_In,USD_Out,USD Balance,Gas_Paid_By_Others,Gap_Top4_Hrs,Gap_Others_Hrs,owner,days_since_last_sig
4kKrqMTgwmHk43skaaoD6AXWgasHUsz26DCKER23arCq,144,60,695.0,11.58,22,10,1,0,10,4214.4,4214.4,0.0,0.0,0.0,3352.12,0.0,1.7076167076167077,194.72,0.0,wallet,0
EubxxLtEV42THQuspknUxcwop8FCQBEYUqWgYSyAZJhy,1670,4,7.0,1.75,14,6,1,0,2,690.0,690.0,0.0,0.01,0.0,249999.99,0.01,1.1666666666666667,904.44,0.0,wallet,832
4egeVFwKgGGXHoXqif6rRZyRab8WtV21rsQiTf5CaJGF,173,29,79.0,2.72,9,4,1,1,5,162.2,162.2,0.0,0.0,0.0,0.0,0.0,2.821428571428572,539.12,0.0,unknown,40
8gtH2nt8ggc3phmuK5myeteGbxV9Nf7fDDbkLeXyTft4,74,11,46.0,4.18,22,6,1,0,7,134.7,134.7,0.0,0.5,0.01,2881.0,0.0,1.2105263157894737,1745.92,0.0,wallet,2
EDQPPhwXHiEdMrP3swS7u5vRGJiy3YeWi7yUv4EB8YbU,94,25,94.0,3.76,22,8,1,0,10,1.1,1.1,0.0,1.07,0.0,54753.73,962.55,1.2207792207792207,2230.29,0.0,wallet,5
3YjxztBuVowaxh8oS1LrLFfAb9f8z2QYYiGLJh3PYuBg,503,21,167.0,7.95,22,42,1,0,27,1047.4,1047.4,0.0,0.0,0.0,1252.0,0.0,1.176056338028169,318.44,0.0,wallet,75
DeQBTZMv2ZAdurxrjR12Qmj6KAHkXyXNigPBNd5MUAAc,186,35,101.0,2.89,9,3,1,2,5,32947.6,32947.6,0.0,0.0,0.0,0.0,0.0,3.060606060606061,2304.25,0.0,unknown,42
4eFzVuheUwKbgSGT4g3cCYdgvNAH8FuJATcX5Z1kCjjM,171,13,30.0,2.31,9,5,1,1,6,119163.8,119163.8,0.0,0.0,0.0,0.0,0.0,3.333333333333333,2.09,0.0,unknown,50
6x9RotoWs2L21dDmEGGJNLAcEUnsAPJgmCpXE6cV4DNP,45,21,203.0,9.67,22,4,1,0,1,0.0,0.0,0.0,0.01,12.0,59778.51,0.0,5.075,1094.33,0.0,wallet,0
4f5YGNB53mQsUaQpQ2bNqC3cZ5sYxG9gsuKdXqCSq2hk,374,5,42.0,8.4,22,3,1,1,5,560.0,560.0,0.0,0.0,0.0,0.0,0.0,1.135135135135135,720.27,0.0,wallet,218
CH9vYnGkHMTsMxrnUEkYF8JaWYRHKW21SHLcFuvAqCMm,125,15,53.0,3.53,9,11,1,1,10,818.0,818.0,0.0,0.0,0.0,0.0,0.0,2.789473684210526,1169.61,0.0,unknown,46
CeB4YvePq3HZkwBEuM5AZ9HVLSKmtC5vreA9Lst4rkAa,1682,23,104.0,4.52,22,14,1,2,15,1707.0,1707.0,0.0,28.57,0.0,0.0,0.0,1.1954022988505748,723.82,0.0,wallet,4
7mVhrmFVZw5tUB2obPQ1BJM4pbPs5RT4moAaZ9PYXovE,730,3,11.0,3.67,11,5,1,0,2,615.0,615.0,0.0,0.01,0.0,63764.03,0.0,1.1,1058.0,0.0,wallet,687
2v2vVHUiRPiKcFR2ktC28FLrqyuzjTfSLDLnGYJYJSi3,313,125,419.0,3.35,24,5,1,1,7,1111.6,1111.6,0.0,0.0,0.0,0.0,0.0,1.7314049586776858,1.33,0.0,wallet,0
